"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Housing Units with 0 Vehicles Available","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","phunomv","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85608","AZ","85608","=""85608""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85609","AZ","85609","=""85609""","0.00","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85610","AZ","85610","=""85610""","9.18","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85611","AZ","85611","=""85611""","1.54","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85613","AZ","85613","=""85613""","1.10","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85614","AZ","85614","=""85614""","5.75","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85615","AZ","85615","=""85615""","0.91","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85616","AZ","85616","=""85616""","4.37","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85617","AZ","85617","=""85617""","4.64","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85618","AZ","85618","=""85618""","0.00","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85619","AZ","85619","=""85619""","N/A","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85620","AZ","85620","=""85620""","0.00","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85621","AZ","85621","=""85621""","9.73","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85622","AZ","85622","=""85622""","1.24","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85623","AZ","85623","=""85623""","0.00","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85624","AZ","85624","=""85624""","2.25","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85625","AZ","85625","=""85625""","3.71","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85626","AZ","85626","=""85626""","8.20","2020-2024","2020","Census","Arizona (State)"
"Zip Code Tabulation Area","85627","AZ","85627","=""85627""","0.00","2020-2024","2020","Census","Arizona (State)"
